run,enemy,generation,fitness,mean.fitness,std.fitness
25/09/2024 13:19:46,3,1,40.196,6.446,12.91
25/09/2024 13:19:46,3,2,40.196,15.508,13.499
25/09/2024 13:19:46,3,3,48.177,24.277,10.433
25/09/2024 13:19:46,3,4,48.682,25.848,11.381
25/09/2024 13:19:46,3,5,57.189,27.039,11.088
25/09/2024 13:19:46,3,6,57.189,29.314,10.953
25/09/2024 13:19:46,3,7,85.793,35.837,18.246
25/09/2024 13:19:46,3,8,85.793,40.074,21.027
25/09/2024 13:19:46,3,9,90.129,46.177,23.175
25/09/2024 13:19:46,3,10,90.129,48.296,23.403
25/09/2024 13:19:46,3,11,90.129,59.92,22.636
25/09/2024 13:19:46,3,12,90.129,60.305,18.173
25/09/2024 13:19:46,3,13,90.129,59.018,20.877
25/09/2024 13:19:46,3,14,90.129,59.531,24.551
25/09/2024 13:19:46,3,15,85.993,55.8,20.047
25/09/2024 13:19:46,3,16,86.391,59.458,17.254
25/09/2024 13:19:46,3,17,89.819,60.554,17.537
25/09/2024 13:19:46,3,18,89.819,60.993,18.205
25/09/2024 13:19:46,3,19,89.819,60.999,19.008
25/09/2024 13:19:46,3,20,86.391,57.956,18.667
25/09/2024 13:20:18,4,0,39.216,-0.912,10.08
25/09/2024 13:20:18,4,1,39.216,5.57,12.008
25/09/2024 13:20:18,4,2,39.219,13.463,11.559
25/09/2024 13:20:18,4,3,39.251,19.979,11.543
25/09/2024 13:20:18,4,4,39.251,22.068,8.809
25/09/2024 13:20:18,4,5,39.219,21.774,7.377
25/09/2024 13:20:18,4,6,39.219,21.824,7.342
25/09/2024 13:20:18,4,7,47.028,23.301,6.081
25/09/2024 13:20:18,4,8,47.028,21.473,7.913
25/09/2024 13:20:18,4,9,47.028,20.52,8.993
25/09/2024 13:20:18,4,10,48.065,23.824,9.324
25/09/2024 13:20:18,4,11,48.065,23.836,9.292
25/09/2024 13:20:18,4,12,73.972,24.973,13.898
25/09/2024 13:20:18,4,13,73.972,26.472,13.341
25/09/2024 13:20:18,4,14,48.065,25.675,11.024
25/09/2024 13:20:18,4,15,48.065,28.254,11.298
25/09/2024 13:20:18,4,16,65.67,26.777,13.368
25/09/2024 13:20:18,4,17,65.67,28.473,15.248
25/09/2024 13:20:18,4,18,65.67,31.657,14.527
25/09/2024 13:20:18,4,19,65.67,31.981,14.605
25/09/2024 13:20:18,4,20,65.67,33.477,16.546
25/09/2024 13:20:24,4,0,47.288,-0.824,11.052
25/09/2024 13:20:24,4,1,65.303,8.194,16.105
25/09/2024 13:20:24,4,2,65.303,15.642,13.342
25/09/2024 13:20:24,4,3,65.303,14.216,12.139
25/09/2024 13:20:24,4,4,65.303,19.572,13.56
25/09/2024 13:20:24,4,5,65.303,21.353,12.484
25/09/2024 13:20:24,4,6,65.303,22.191,11.494
25/09/2024 13:20:24,4,7,65.303,21.639,12.158
25/09/2024 13:20:24,4,8,65.303,24.387,10.459
25/09/2024 13:20:24,4,9,65.303,23.502,11.255
25/09/2024 13:20:24,4,10,65.303,24.349,10.212
25/09/2024 13:20:24,4,11,65.303,22.353,8.969
25/09/2024 13:20:24,4,12,65.303,23.001,7.856
25/09/2024 13:20:24,4,13,65.303,23.0,7.856
25/09/2024 13:20:24,4,14,21.9,21.566,0.12
25/09/2024 13:20:24,4,15,21.62,21.588,0.074
25/09/2024 13:20:24,4,16,21.62,21.617,0.013
25/09/2024 13:20:24,4,17,21.62,21.315,1.627
25/09/2024 13:20:24,4,18,21.62,21.61,0.04
25/09/2024 13:20:24,4,19,21.62,21.611,0.039
25/09/2024 13:20:24,4,20,21.62,21.618,0.01
25/09/2024 13:20:29,4,0,30.241,1.057,10.075
25/09/2024 13:20:29,4,1,30.241,11.272,9.649
25/09/2024 13:20:29,4,2,30.495,15.958,7.868
25/09/2024 13:20:29,4,3,30.108,17.794,7.255
25/09/2024 13:20:29,4,4,30.108,19.469,5.979
25/09/2024 13:20:29,4,5,30.108,21.274,2.879
25/09/2024 13:20:29,4,6,30.108,22.179,2.102
25/09/2024 13:20:29,4,7,30.108,20.995,5.036
25/09/2024 13:20:29,4,8,29.967,21.314,3.529
25/09/2024 13:20:29,4,9,29.967,21.0,3.906
25/09/2024 13:20:29,4,10,29.989,21.299,3.604
25/09/2024 13:20:29,4,11,30.571,22.205,2.16
25/09/2024 13:20:29,4,12,30.712,22.46,3.548
